reached_destination_time,sim_corridor_travel_min,sim_corridor_travel_s,sim_trip_completed,departed_stop_time,arrived_at_stop_time,total_elapsed_min,obs_id,session,trip_direction,origin_terminal,destination_terminal,coordinates,origin_coordinates,destination_coordinates,scenario_id,scenario_group,policy,signal_pattern,encounter_pattern,encounter_1_green,encounter_2_green,bus_company,route,traffic_condition,crowding_level,relocate_mask,informal_mask,formal_mask,encounter_mask,service_mode,adhoc_informal_count,sim_minus_session_reference_min,session_onboard_reference_min_jan18,session_onboard_reference_note,corridor_length_m,sim_avg_speed_kmh,sim_implied_speed_kmh,sim_delay_s,field_speed_cap_kmh,traffic_mode,mixed_traffic,boarding,alighting,dwell_at_stop_s,calibration_profile,session_speed_band_kmh_jan18
06:22:38,10.36,621.4,True,06:12:17,06:12:00,10.63,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.86,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:51:52,10.47,628.4,True,06:41:24,06:41:00,10.87,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,G-G,G-G,True,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.65,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:12:50,10.3,618.3,True,06:02:32,06:02:00,10.83,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit,policy,transit_all_stops,G-G,G-G,True,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,18.95,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:21:11,8.91,534.8,True,06:12:17,06:12:00,9.18,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.91,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:50:22,8.98,538.6,True,06:41:24,06:41:00,9.37,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,G-R,G-R,True,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.76,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:14:27,11.92,715.1,True,06:02:32,06:02:00,12.45,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit,policy,transit_all_stops,G-R,G-R,True,False,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.39,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:24:15,11.97,718.2,True,06:12:17,06:12:00,12.25,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.32,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
06:53:29,12.09,725.2,True,06:41:24,06:41:00,12.48,5,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,R-G,R-G,False,True,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.16,,45.44,mixed,True,3.0,5.0,24.0,june2026,29.18-45.44
06:11:25,8.88,533.1,True,06:02:32,06:02:00,9.42,1,Morning Session,wm_to_rb,waltermart,robinsons,"14.324939, 120.940955","14.324939, 120.940955","14.300037, 120.954412",A_transit,policy,transit_all_stops,R-G,R-G,False,True,San Agustin,Alfonso - Tagaytay,Light,Medium,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,21.98,,45.44,mixed,True,7.0,2.0,32.0,june2026,29.18-45.44
06:23:52,11.58,695.0,True,06:12:17,06:12:00,11.87,4,Morning Session,rb_to_wm,robinsons,waltermart,"14.300037, 120.954412","14.300037, 120.954412","14.324939, 120.940955",A_transit,policy,transit_all_stops,R-R,R-R,False,False,San Agustin Transport Service Corp.,Pasay - Baclaran,Light,Low,00000,111,111,111111,full,0,,,June 2026 San Agustin on-board session mean travel time to destination; per-bus traffic tier adjusts target,3255.0,45.44,16.86,,45.44,mixed,True,1.0,3.0,17.0,june2026,29.18-45.44
