obs_id,session,trip_direction,bus_company,scenario_id,policy,signal_pattern,traffic_condition,crowding_level,stop_sequence,stop_key,stop_label,coordinates,stop_kind,arrived_at_stop_time,dwell_at_stop_s,departed_stop_time,leg_travel_before_stop_s,stop_timeline_source
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:11,83.2,06:04:34,40.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,2,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:39,16.7,06:05:55,65.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,3,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:03,16.7,06:06:19,8.2,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,4,rkp_trading,RKP Trading Corporation (formal),"14.303230, 120.954053",formal,06:08:56,16.7,06:09:12,157.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,5,pala_pala,Pala-Pala Intersection Signal,"14.302125, 120.954055",signal,06:09:23,83.2,06:10:46,11.1,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-G,Light,Medium,6,robinsons,Robinson Place Dasmariñas (formal bus stop),"14.300037, 120.954412",terminal_formal,06:11:16,39.1,06:11:55,30.6,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-R,Light,Medium,0,waltermart,Waltermart Dasmariñas (formal bus stop),"14.324939, 120.940955",terminal_formal,06:02:00,32.0,06:02:31,0.0,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-R,Light,Medium,1,waltermart_int,Waltermart Dasmariñas Intersection Signal,"14.322364, 120.941649",signal,06:03:11,83.2,06:04:34,40.9,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-R,Light,Medium,2,vista_mall,Vista Mall Dasmariñas (formal),"14.316870, 120.944150",formal,06:05:39,16.6,06:05:55,65.5,schedule_aligned_to_uxsim_e2e
1,Morning Session,wm_to_rb,San Agustin,I_100,partial_informal,G-R,Light,Medium,3,villa_verde,Villa Verde (formal),"14.314900, 120.945000",formal,06:06:03,16.6,06:06:19,8.2,schedule_aligned_to_uxsim_e2e
